"If the first column for a row is blank, then the row is ignored",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,name of the alias that is used to play this sound (required),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file,the name of the file that contains the sound data (required),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vol_min,"0 is silent, 1 is full volume (default = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vol_max,"0 is silent, 1 is full volume (default = same as vol_min)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vol_mod,"blank causes no effect on vol_min and vol_max, otherwise the string must match a string in the volumemodgroups.def file and the value in that file corresponding to that string will be used to adjust vol_min and vol_max, clamped to the valid range",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dist_min,"within this distance in inches, the sound is always full volume (default = 120)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,primed (a streamed sound which gets primed on some platforms) / streamed / loaded (default = loaded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masterpriority,Priority value used to determine whether this sound is master at a particular time. The highest priority sound playing is consdered master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masterpercent,Stores an additional ducking percentage by which all slave sounds volume will be reduced when this master is playing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slavepercent,"Stores the base percentage by which this sound will be ducked if it's playing as a slave, regardless of the master playing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compression,"a string corresponding to an entry in ""XMAUpdate.tbl"" which is used to determine compression by XMAUpdate.exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondaryaliasname,"defined the name of an additional sound alias to play in addition to the current alias being played. Note that it is an error for the secondaryalias to also define a secondaryaliasname (eg, if B is a secondaryalias of A, B is not allowed to have its own secondaryalias).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volumefalloffcurve,if blank uses the linear curve which can not be changed. A string 'XXXX' corresponds to the curve defined by the file 'soundaliases/XXXX.vfcurve',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
startdelay,defaults to no delay. The value is the number of milliseconds to delay starting the sound by,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speakermap,if blank uses the default speakermappings which cannot be changed. A string 'XXXX' corresponds to the speakermap defined by the file 'soundaliases/XXXX.spkrmap'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reverb,"blank means the alias is affected normally by wet and dry levels, ""fulldrylevel"" forces the alias to use a full drylevel (ignoring the global drylevel), ""nowetlevel"" forces the alias to use no wetlevel (ignoring the global wetlevel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lfe percentage,this determines what percentage of the highest calculated spatialized speaker volume should be passed to the LFE. blank means no LFE for the sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
center percentage,this determines what percentage of the volume should be redirected to the center channel (equal percentage taken from all speakers).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
platform,"used by XMAUpdate to determine whether the alias should be processed for a particular platform.  If blank, process for all platforms.  Platforms are PC, XB, PS, WI.  Multiple values should be separated by spaces.  !PC will exclude alias from PC but include in all other platforms.  PC will only include alias for PC.  !PC XB is invalid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
envelop_min,any sounds within this distance of the listener will use the full envelop percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
envelop_max,sounds between enevlop_min and envelop_max use a fraction of the envelop percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
envelop percentage,amount of omnidirectionality to apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape,how to interpret dist_min.  valid values are 'donut' and 'disc'.  blank means 'disc'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velocity_min,sound alias will only play if the listener's velocity is greater than or equal to this velocity.  velocity is in MPH  (default = 0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dev_sound_mixer_group,"for dev purposes, which sound mixer group is associated with this sound alias. can be set to any string, code will automatically group it up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
